hostname,fullpath,filepath,drive,filename,fileextension,username
NC546YHJ,c:\Windows\System32\xblauthmanagerproxy.dll,Windows\System32,c,xblauthmanagerproxy.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\IME\IMEJP\APPLETS\IMJPSKF.DLL,Windows\System32\IME\IMEJP\APPLETS,c,IMJPSKF.DLL,DLL,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\Speech\Common\sapi.dll,Windows\System32\Speech\Common,c,sapi.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\printui.dll,Windows\System32,c,printui.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\onedrivesetup.exe,Windows\SysWOW64,c,onedrivesetup.exe,exe,NT SERVICE\TrustedInstaller
NC546YHJ,c:\Windows\System32\srpuxnativesnapin.dll,Windows\System32,c,srpuxnativesnapin.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\ieapfltr.dll,Windows\SysWOW64,c,ieapfltr.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\devicesetupstatusprovider.dll,Windows\System32,c,devicesetupstatusprovider.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\enterprisedesktopappmgmtcsp.dll,Windows\System32,c,enterprisedesktopappmgmtcsp.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\dnscmmc.dll,Windows\SysWOW64,c,dnscmmc.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\mscoree.dll,Windows\SysWOW64,c,mscoree.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\playtostatusprovider.dll,Windows\System32,c,playtostatusprovider.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\windows.web.http.dll,Windows\SysWOW64,c,windows.web.http.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\drivers\uefi.sys,Windows\System32\drivers,c,uefi.sys,sys,NT AUTHORITY\SYSTEM
